,Season,Team,Points,Goals_for_+,Goals_against_-,Wins,Draws,Losses
0,2017,A.E.K.,70,50,12,21,7,2
1,2017,Π.Α.Ο.Κ.,64,59,19,21,4,5
2,2017,ΟΛΥΜΠΙΑΚΟΣ,57,63,28,18,6,6
3,2017,ΑΤΡΟΜΗΤΟΣ ΑΘ.,56,43,21,15,11,4
4,2017,ΑΣΤΕΡΑΣ ΤΡΙΠ.,45,39,24,12,9,9
5,2017,Α.Ο. ΞΑΝΘΗ,45,31,30,12,9,9
6,2017,ΠΑΝΙΩΝΙΟΣ,40,32,31,10,10,10
7,2017,ΠΑΝΑΙΤΩΛΙΚΟΣ,35,31,40,9,8,13
8,2017,ΠΑΣ ΓΙΑΝΝΙΝΑ,34,31,34,7,13,10
9,2017,ΛΕΒΑΔΕΙΑΚΟΣ,34,23,34,8,10,12
10,2017,ΠΑΝΑΘΗΝΑΪΚΟΣ,32,30,30,10,10,10
11,2017,Α.Ε.Λ.,31,22,41,7,10,13
12,2017,ΛΑΜΙΑ,30,20,34,6,12,12
13,2017,ΑΠΟΛΛΩΝ ΣΜ.,29,23,36,6,11,13
14,2017,Α.Ο.Κ.,22,19,51,4,10,16
15,2017,ΠΛΑΤΑΝΙΑΣ,10,14,65,2,4,24
